ph,N,P,K,Moisture (%),Recommendations,Crop
6.502985292000001,90,42,43,30,"['Reduce N', 'Reduce P']",rice
7.038096361,85,58,41,30,"['Reduce N', 'Reduce P']",rice
7.840207144,60,55,44,30,"['Reduce ph', 'Reduce N', 'Reduce P']",rice
6.980400905,74,35,40,30,['Reduce N'],rice
7.628472891,78,42,42,30,"['Reduce ph', 'Reduce N', 'Reduce P']",rice
7.073453503,69,37,42,30,['Reduce N'],rice
5.70080568,69,55,38,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
5.718627177999999,94,53,40,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.685346424,89,54,38,30,"['Reduce N', 'Reduce P']",rice
6.336253525,68,58,38,30,"['Reduce N', 'Reduce P']",rice
5.386167788,91,53,40,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
7.50283396,90,46,42,30,"['Reduce ph', 'Reduce N', 'Reduce P']",rice
5.108681786,78,58,44,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.98435366,93,56,36,30,"['Reduce N', 'Reduce P']",rice
6.94801983,94,50,37,30,"['Reduce N', 'Reduce P']",rice
7.042299068999999,60,48,39,30,"['Reduce N', 'Reduce P']",rice
6.2490506560000005,85,38,41,30,['Reduce N'],rice
6.970859754,91,35,39,30,['Reduce N'],rice
5.953933276,77,38,36,30,"['Increase ph', 'Reduce N']",rice
5.85393208,88,35,40,30,"['Increase ph', 'Reduce N']",rice
6.442475375,89,45,36,30,"['Reduce N', 'Reduce P']",rice
5.070175667,76,40,43,30,"['Increase ph', 'Reduce N']",rice
6.012632591,67,59,41,30,"['Reduce N', 'Reduce P']",rice
6.254028451,83,41,43,30,"['Reduce N', 'Reduce P']",rice
7.375482851,98,47,37,30,"['Reduce N', 'Reduce P']",rice
7.778915154,66,53,41,30,"['Reduce ph', 'Reduce N', 'Reduce P']",rice
6.2865001760000006,97,59,43,30,"['Reduce N', 'Reduce P']",rice
7.070959995,97,50,41,30,"['Reduce N', 'Reduce P']",rice
6.244841491,60,49,44,30,"['Reduce N', 'Reduce P']",rice
6.043304899,84,51,35,30,"['Reduce N', 'Reduce P']",rice
5.824709117,73,57,41,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.3573893660000005,92,35,40,30,['Reduce N'],rice
6.364134967999999,85,37,39,30,['Reduce N'],rice
5.01450727,98,53,38,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.149410611,88,54,44,30,"['Reduce N', 'Reduce P']",rice
5.950660556,95,55,42,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
5.960370061,99,57,35,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
5.561398642,95,39,36,30,"['Increase ph', 'Reduce N']",rice
7.416245107000001,60,43,44,30,"['Reduce N', 'Reduce P']",rice
5.583370042,63,44,41,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.430010215,62,42,36,30,"['Reduce N', 'Reduce P']",rice
5.534878156,64,45,43,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.903985986,83,60,36,30,"['Reduce N', 'Reduce P']",rice
6.271478837999999,82,40,40,30,['Reduce N'],rice
